1A	1B	1C	2A	2B	2C	3A	3B	3C	4A	4B	4C	5A	5B	5C	6A	6B	6C	7A	7B	7C
1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0
3	0	1	421	2	0	1	5	4	119	428	9	239	245	821	503	1153	4	3	59	21
0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0
1	1	0	286	1	0	37	8	0	77	122	2	58	94	77	626	486	0	0	7	1
0	0	0	9	0	0	0	0	0	5	2	0	2	0	15	12	12	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10	6	24	34	56	81	56	79	6	48	71	56	93	15	40	22	14	22	32	25	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
1	0	1	62	5	9	10	10	4	179	74	35	188	41	116	25	105	162	41	76	118
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	6	3	0	0	0	0	5	2	11	3	0	1	8	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	1	2	1	0	5	3	4	19	8	2	1	0	0	2	38	0	14	0
0	0	0	24	1	0	1	0	0	22	50	4	148	97	167	20	61	63	10	319	99
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3	4	7	24	6	4	2	2	6	26	21	12	17	8	16	37	32	11	6	14	5
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	6	74	12	6	23	0	1	160	73	193	0	40	39	15	16	0	0	0	4
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14	16338	21	7	24	8	34	14	12	33	7	8	19	5	9	10	39	17	19	13	11
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0
0	0	0	0	0	14	0	1	0	1	1	0	15	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	72	0	0	0	4	0
0	0	0	0	12	0	0	0	1	0	0	0	49	0	0	1	28	0	0	3	1
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2056	113	2076	3800	2063	2450	1308	3868	3541	3159	2235	2872	2010	2393	2692	3460	4153	1959	2446	3254	1913
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	9	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	23	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	37	27
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26	0	0	0	0	4
0	3	1	8	69	26	18	69	61	3	53	13	2	51	171	35	175	0	0	7	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	2	0	0	0	1	0	9	0	5	0	1	0	8	4	6	10	0	1
1	1	0	1	0	0	0	0	398	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	0	0	10	1	26	28	23	4	3	4	12	37	72	32	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4	0	1	44	1	2	2	2	0	0	2	3	0	16	1	2	23	3	2	4	1
1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0
3	0	8	4	1	3	0	4	0	3	6	5	18	0	1	0	3	0	0	2	0
11	0	1	0	0	0	1	2	7	0	1	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0
0	1	0	0	4	0	0	4	0	0	2	3	0	0	0	1	0	10	4	0	8
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
2	0	3	0	3	4	4	8	16	0	3	2	1	0	2	655	0	8	1	5	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
5	1	4	12	2	0	937	155	491	80	802	3	11	3	3	99	1	82	1	0	0
0	0	0	0	0	0	0	0	0	3	20	1	1	54	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	181	0	8	0	38	1	0	0	0	0	0	0	0	1
1	2	862	0	3	0	0	2	0	36	4	19	0	34	0	0	0	1	4	0	0
358	7	8801	237	18	31	138	202	51	3	19	5	35	428	5	992	7	95	17	1	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
1	0	0	13	21	0	2	0	0	0	0	0	1	10	0	0	102	0	1	2	1
0	0	0	71	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	1	0	0	0	1	9	1	0	0	2	0	5	0	0	2	0
0	0	0	1	0	1	0	0	0	0	0	0	8	4	3	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	1	2	1	2	4	2	0	0	0	3	4	0	0	0	7	0	1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0
170	2	51	62	52	98	73	88	28	65	106	232	73	92	108	147	219	53	226	249	125
0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0
6	0	1	0	0	0	0	0	2	2	2	3	1	0	0	0	0	0	0	0	0
19	0	26	30	9	21	20	44	17	41	56	70	17	10	24	58	183	25	39	46	16
0	0	0	11	0	0	1	2	0	28	45	16	4	4	2	21	31	4	1	17	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	9	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	2	0	3	1	0	2	1	1	0	0	1	0	0	1	3	1	2	1	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	2	10	4	0	12	1	8	8	6	7	6	3	2	18	11	44	12	7	19
1927	107	1786	3983	2476	3545	2242	5849	3483	4816	3107	3574	2363	4070	3750	2929	3971	2649	3210	3899	2679
0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
1	0	0	13	7	2	12	1	1	10	16	3	6	2	2	13	1	1	2	5	12
262	4	39	41	117	135	88	732	228	66	47	98	82	98	81	64	65	28	88	89	71
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	1	0	1	0
1	0	1	0	1	7	51	3	20	0	0	0	0	0	1	0	1	1	0	0	0
1	0	9	78	0	1	0	1	1	8	4	4	3	7	1	5	1	5	4	2	4
0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1	12	14	34	3	13	21	11	28	16	21	21	61	88	8	14	14	56	15	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	1	7	2	2	3	9	3	2	2	4	9	7	5	0	4	2	3	12	2	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
2	0	0	0	1	0	0	11	0	5	2	2	6	1	1	1	0	1	3	7	5
0	0	0	0	2	1	0	1	0	3	0	2	0	1	0	1	0	0	3	0	1
0	0	0	0	0	0	1	0	0	10	1	0	1	1	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	3	3	0	10	4	1	5	2	0	2	30	3	8	0	2	0	34	36	11
0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	45	1	0	0	0
0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	2	3	1	8	3020	3	2	1	0	1	1	0	3	3	1	0	3	2	1	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	1	1	0	1	15	6	0	0	1	0	1	8	26	2	0	0	0
