A1A	A1B	A1C	A2A	A2B	A2C	A3A	A3B	A3C	A4A	A4B	A4C	A5A	A5B	A5C	A6A	A6B	A6C	A7A	A7B	A7C	J1A	J1B	J1C	J2A	J2B	J2C	J3A	J3B	J3C	J4A	J4B	J4C	J5A	J5B	J5C	J6A	J6B	J6C	J7A	J7B	J7C	O1A	O1B	O1C	O2A	O2B	O2C	O3A	O3B	O3C	O4A	O4B	O4C	O5A	O5B	O5C	O6A	O6B	O6C	O7A	O7B	O7C
0	1	0	166	6	1661	6	51	16	10693	60	6	2	246	315	12	8	15	66	37	0	2	0	0	831	4	1	1	2	4	428	574	24	615	250	1365	1758	2299	1	2	27	26	0	0	5	1	7	0	3	620	0	670	1281	142	0	96	46	94	60	13	37	23	0
0	0	0	0	0	2	0	0	0	4	0	0	5	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	1	0
0	0	0	0	8	160	21	1828	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	33	13	0	3	3	0	1	1	10	7	21	0	0	0	0	0	0	1	2	0	0	453	17	25	3	4572	302	30	0	4	0	0	0	15	0	0
5	43	0	8	19	2	8	11	1	22	32	5	1	15	49	60	0	9	33	7	22	0	1	15	23	14	51	29	71	24	50	41	32	8	17	21	6	19	8	20	34	14	13	0	4	30	14	44	23	0	12	42	29	50	18	16	27	6	8	17	53	21	24
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	3
5	17	8	37	8	20	14	4	2	13	18	47	34	15	19	3	25	14	90	71	45	7	1	5	48	6	23	50	16	8	222	25	65	286	73	96	39	64	167	61	368	107	4	5	5	24	24	57	24	4	8	40	66	125	27	14	34	29	66	20	33	43	96
0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	13	5	26	8	0	0	0	2	93	19	3	0	0	0	77	4	0	0	3	3	31	65	11	213	89	179	15	60	79	4	34	90	0	0	0	4	0	0	9	0	0	9	5	9	0	1	6	15	35	36	9	33	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
4	9	0	3	0	3	7	7	7	3	12	1	6	15	11	3	18	2	0	3	7	2	2	1	87	0	0	0	1	6	5	17	12	0	1	4	3	8	3	3	2	2	0	0	1	5	3	0	2	6	0	0	38	2	0	0	2	0	1	4	0	0	0
