A1A	A1B	A1C	A2A	A2B	A2C	A3A	A3B	A3C	A4A	A4B	A4C	A5A	A5B	A5C	A6A	A6B	A6C	A7A	A7B	A7C	J1A	J1B	J1C	J2A	J2B	J2C	J3A	J3B	J3C	J4A	J4B	J4C	J5A	J5B	J5C	J6A	J6B	J6C	J7A	J7B	J7C	O1A	O1B	O1C	O2A	O2B	O2C	O3A	O3B	O3C	O4A	O4B	O4C	O5A	O5B	O5C	O6A	O6B	O6C	O7A	O7B	O7C
0	0	0	121	0	1484	0	14	0	10138	34	0	0	208	261	10	4	4	29	16	0	0	0	0	731	0	0	0	0	0	369	482	12	524	193	1173	1487	1999	0	0	7	25	0	0	0	0	0	0	3	492	0	554	1062	50	0	90	20	64	49	0	20	13	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5	75	16	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	16	24	0	4167	283	30	0	0	0	0	0	12	0	0
0	37	0	0	12	0	2	0	0	18	13	0	0	0	45	55	0	0	0	0	0	0	0	0	0	7	35	25	34	0	21	15	15	1	1	15	0	2	0	11	28	0	0	0	0	26	1	0	0	0	0	35	4	19	0	0	2	1	0	0	39	4	9
0	8	0	32	0	10	2	0	0	2	2	30	14	0	0	1	14	6	50	34	0	3	0	0	10	2	9	18	0	0	160	3	27	259	48	51	30	29	140	23	288	56	0	0	0	16	14	33	12	0	1	26	1	61	4	0	19	13	34	13	0	12	74
0	0	0	0	0	0	0	0	0	0	13	0	15	2	0	0	0	0	80	1	0	0	0	0	67	2	0	0	0	0	19	47	0	195	82	171	13	56	58	0	12	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21	34	4	19	0
0	9	0	0	0	0	0	0	0	3	0	0	0	15	0	0	18	0	0	0	0	0	0	0	83	0	0	0	0	0	0	15	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	36	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	3	23	39	0	11	0	0	0	0	0	0	16	0	23	0	0	55	46	4	0	0	0	115	61	23	24	31	17	5	0	0	11	13	0	0	0	0	0	13	22	0	0	0	103	37	34	71	47	58	0	11	0	125	0	13
0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	18	0	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	3	0	0	0	0	0	0	0	0	0
