Month	Site	Rep
April	A	A
April	A	B
April	A	C
April	B	A
April	B	B
April	B	C
April	C	A
April	C	B
April	C	C
April	D	A
April	D	B
April	D	C
April	E	A
April	E	B
April	E	C
April	F	A
April	F	B
April	F	C
April	G	A
April	G	B
April	G	C
July	A	A
July	A	B
July	A	C
July	B	A
July	B	B
July	B	C
July	C	A
July	C	B
July	C	C
July	D	A
July	D	B
July	D	C
July	E	A
July	E	B
July	E	C
July	F	A
July	F	B
July	F	C
July	G	A
July	G	B
July	G	C
October	A	A
October	A	B
October	A	C
October	B	A
October	B	B
October	B	C
October	C	A
October	C	B
October	C	C
October	D	A
October	D	B
October	D	C
October	E	A
October	E	B
October	E	C
October	F	A
October	F	B
October	F	C
October	G	A
October	G	B
October	G	C
