Month	Site	Replicate	Taxon	Count
April	A	3	Fly_Larva	1
April	C	3	Fly_Larva	1
April	D	3	Fly_Larva	1
April	E	1	Fly_Larva	1
April	F	3	Fly_Larva	15
April	A	2	Gilled_Snail	2
April	A	3	Gilled_Snail	3
April	B	2	Gilled_Snail	23
April	B	3	Gilled_Snail	24
April	C	1	Gilled_Snail	7
April	C	3	Gilled_Snail	9
April	D	2	Gilled_Snail	2
April	D	3	Gilled_Snail	7
April	E	1	Gilled_Snail	17
April	E	3	Gilled_Snail	12
April	F	1	Gilled_Snail	1
April	F	3	Gilled_Snail	1
April	G	1	Gilled_Snail	4
April	G	2	Gilled_Snail	3
April	A	2	Insect	1
April	D	3	Insect	1
April	E	1	Insect	1
April	G	1	Insect	1
April	G	1	Insect	1
April	A	3	Midge_Larva	6
April	C	3	Midge_Larva	4
April	D	3	Midge_Larva	18
April	F	3	Midge_Larva	9
April	G	1	Midge_Larva	3
April	A	2	Orb_Snail	1
April	B	2	Orb_Snail	2
April	B	3	Orb_Snail	1
April	C	3	Orb_Snail	4
April	D	2	Orb_Snail	4
April	E	1	Orb_Snail	5
April	E	3	Orb_Snail	11
April	F	3	Orb_Snail	1
April	G	1	Orb_Snail	2
April	A	2	Ostracod	17
April	A	3	Ostracod	24
April	B	2	Ostracod	7
April	B	3	Ostracod	4
April	C	1	Ostracod	1
April	C	3	Ostracod	1
April	E	1	Ostracod	14
April	F	3	Ostracod	5
April	A	3	Other	1
April	B	2	Other	1
April	B	3	Other	2
April	C	1	Other	1
April	C	3	Other	1
April	C	3	Other	15
April	D	2	Other	4
April	D	2	Other	1
April	D	3	Other	1
April	D	3	Other	2
April	E	1	Other	8
April	E	3	Other	4
April	F	3	Other	1
April	G	1	Other	2
April	G	1	Other	3
April	G	2	Other	1
April	G	2	Other	1
April	B	2	Pouch_Snail	1
April	C	3	Pouch_Snail	2
April	E	1	Tubifex_Worm	1
April	A	1	Insect	0
