Simpsons_morpho	Month	Site	Replicate	Simpsons_molecular
0.3310658	April	A	2	0.9975272
0.4914286	April	A	3	0.9970747
0.4948097	April	B	2	0.9978864
0.3787721	April	B	3	0.9975565
0.5208333	April	C	1	0.9983757
0.7520661	April	C	3	0.998194
0.6942149	April	D	2	0.9985292
0.5777778	April	D	3	0.9985323
0.7387958	April	E	1	0.9983635
0.6145405	April	E	3	0.9985506
0.6738281	April	F	3	0.9982527
0.8203125	April	G	1	0.9979192
0.48	April	G	2	0.9982469
0.2539022	July	A	1	0.9964276
0.1145021	July	A	2	0.9382181
0.1913265	July	A	3	0.9962096
0.6096676	July	B	1	0.998309
0.6953125	July	B	2	0.9980156
0.5661157	July	B	3	0.997909
0.5972222	July	C	1	0.997357
0.7130362	July	C	2	0.9985897
0.5714286	July	C	3	0.9981252
0.625	July	D	1	0.9986853
0.6122449	July	D	2	0.9982358
0.6666667	July	D	3	0.9984831
0.5968492	July	E	1	0.9981505
0.40625	July	E	2	0.9982781
0.75	July	F	1	0.9980077
0.72	July	F	2	0.9982948
0.6952479	July	G	1	0.997662
0.7438017	October	A	1	0.9963652
0	October	A	2	0.997536
0.2344045	October	B	1	0.9970159
0.4224059	October	B	3	0.9983533
0.65625	October	C	1	0.9979805
0.244898	October	C	2	0.9969236
0.6982249	October	D	1	0.9977881
0.2777778	October	D	2	0.9983261
0.59375	October	E	1	0.9978884
0	October	E	2	0.9980805
0.2916667	October	F	1	0.9978245
0.8	October	F	2	0.9980665
0.5785124	October	G	1	0.9977986
0.691358	October	G	2	0.9975526
