Location	Month	Point
Seep_transect	April	A
Seep_transect	April	A
Seep_transect	April	B
Seep_transect	April	B
Seep_transect	April	C
Seep_transect	April	C
Seep_transect	April	D
Seep_transect	April	D
Seep_transect	April	E
Seep_transect	April	E
Seep_transect	April	F
Seep_transect	April	F
Seep_transect	April	G
Seep_transect	April	G
Seep_transect	July	A
Seep_transect	July	A
Seep_transect	July	A
Seep_transect	July	B
Seep_transect	July	B
Seep_transect	July	B
Seep_transect	July	C
Seep_transect	July	C
Seep_transect	July	C
Seep_transect	July	D
Seep_transect	July	D
Seep_transect	July	D
Seep_transect	July	E
Seep_transect	July	E
Seep_transect	July	F
Seep_transect	July	F
Seep_transect	July	G
Seep_transect	October	A
Seep_transect	October	A
Seep_transect	October	B
Seep_transect	October	B
Seep_transect	October	C
Seep_transect	October	C
Seep_transect	October	D
Seep_transect	October	D
Seep_transect	October	E
Seep_transect	October	E
Seep_transect	October	F
Seep_transect	October	F
Seep_transect	October	G
Seep_transect	October	G
Floodplain	October	2
Floodplain	October	2
Floodplain	October	2
Floodplain	October	2
Floodplain	October	2
Floodplain	October	3
Floodplain	October	3
Floodplain	October	3
Floodplain	October	3
Floodplain	October	3
Floodplain	October	3
Floodplain	October	3
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	2
Floodplain	October	3
Floodplain	October	3
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	4
Floodplain	October	1
Floodplain	October	1
Floodplain	October	1
Floodplain	October	1
Floodplain	October	1
Floodplain	October	1
Floodplain	October	1
