Month	Site	Replicate	Taxon	Count	Percent
July	A	1	Lepidoptera	474	0.05157219
July	A	1	Dasyhelea	285	0.031008595
July	A	1	Odonata	0	0
July	A	1	Ceratopogonidae	0	0
July	A	1	Diptera	12	0.001305625
July	A	1	Coleoptera	0	0
July	A	1	Orthoptera	0	0
July	A	1	Culicoides	0	0
July	A	1	Chironomidae	0	0
July	A	2	Lepidoptera	0	0
July	A	2	Dasyhelea	0	0
July	A	2	Odonata	0	0
July	A	2	Ceratopogonidae	0	0
July	A	2	Diptera	0	0
July	A	2	Coleoptera	0	0
July	A	2	Orthoptera	0	0
July	A	2	Culicoides	0	0
July	A	2	Chironomidae	0	0
July	A	3	Lepidoptera	88	0.009574584
July	A	3	Dasyhelea	7592	0.82602546
July	A	3	Odonata	0	0
July	A	3	Ceratopogonidae	0	0
July	A	3	Diptera	0	0
July	A	3	Coleoptera	0	0
July	A	3	Orthoptera	0	0
July	A	3	Culicoides	740	0.080513546
July	A	3	Chironomidae	0	0
July	B	1	Lepidoptera	674	0.156489436
July	B	1	Dasyhelea	142	0.032969584
July	B	1	Odonata	0	0
July	B	1	Ceratopogonidae	6	0.001393081
July	B	1	Diptera	0	0
July	B	1	Coleoptera	111	0.025771999
July	B	1	Orthoptera	0	0
July	B	1	Culicoides	0	0
July	B	1	Chironomidae	0	0
July	B	2	Lepidoptera	773	0.179475273
July	B	2	Dasyhelea	0	0
July	B	2	Odonata	0	0
July	B	2	Ceratopogonidae	0	0
July	B	2	Diptera	14	0.003250522
July	B	2	Coleoptera	0	0
July	B	2	Orthoptera	0	0
July	B	2	Culicoides	0	0
July	B	2	Chironomidae	0	0
July	B	3	Lepidoptera	79	0.018342234
July	B	3	Dasyhelea	16	0.003714883
July	B	3	Odonata	0	0
July	B	3	Ceratopogonidae	0	0
July	B	3	Diptera	17	0.003947063
July	B	3	Coleoptera	0	0
July	B	3	Orthoptera	2475	0.574645925
July	B	3	Culicoides	0	0
July	B	3	Chironomidae	0	0
July	C	1	Lepidoptera	4	0.000973947
July	C	1	Dasyhelea	95	0.023131239
July	C	1	Odonata	0	0
July	C	1	Ceratopogonidae	606	0.147552958
July	C	1	Diptera	12	0.002921841
July	C	1	Coleoptera	0	0
July	C	1	Orthoptera	0	0
July	C	1	Culicoides	0	0
July	C	1	Chironomidae	0	0
July	C	2	Lepidoptera	1962	0.477720964
July	C	2	Dasyhelea	134	0.032627222
July	C	2	Odonata	0	0
July	C	2	Ceratopogonidae	70	0.017044071
July	C	2	Diptera	15	0.003652301
July	C	2	Coleoptera	0	0
July	C	2	Orthoptera	0	0
July	C	2	Culicoides	0	0
July	C	2	Chironomidae	0	0
July	C	3	Lepidoptera	904	0.220112004
July	C	3	Dasyhelea	24	0.005843682
July	C	3	Odonata	0	0
July	C	3	Ceratopogonidae	281	0.068419771
July	C	3	Diptera	0	0
July	C	3	Coleoptera	0	0
July	C	3	Orthoptera	0	0
July	C	3	Culicoides	0	0
July	C	3	Chironomidae	0	0
July	D	1	Lepidoptera	241	0.212897527
July	D	1	Dasyhelea	0	0
July	D	1	Odonata	0	0
July	D	1	Ceratopogonidae	45	0.03975265
July	D	1	Diptera	0	0
July	D	1	Coleoptera	0	0
July	D	1	Orthoptera	0	0
July	D	1	Culicoides	27	0.02385159
July	D	1	Chironomidae	0	0
July	D	2	Lepidoptera	134	0.118374558
July	D	2	Dasyhelea	0	0
July	D	2	Odonata	0	0
July	D	2	Ceratopogonidae	436	0.385159011
July	D	2	Diptera	16	0.014134276
July	D	2	Coleoptera	0	0
July	D	2	Orthoptera	0	0
July	D	2	Culicoides	0	0
July	D	2	Chironomidae	0	0
July	D	3	Lepidoptera	199	0.175795053
July	D	3	Dasyhelea	0	0
July	D	3	Odonata	0	0
July	D	3	Ceratopogonidae	0	0
July	D	3	Diptera	0	0
July	D	3	Coleoptera	21	0.018551237
July	D	3	Orthoptera	0	0
July	D	3	Culicoides	13	0.011484099
July	D	3	Chironomidae	0	0
July	E	1	Lepidoptera	567	0.222352941
July	E	1	Dasyhelea	36	0.014117647
July	E	1	Odonata	0	0
July	E	1	Ceratopogonidae	0	0
July	E	1	Diptera	1	0.000392157
July	E	1	Coleoptera	0	0
July	E	1	Orthoptera	0	0
July	E	1	Culicoides	0	0
July	E	1	Chironomidae	0	0
July	E	2	Lepidoptera	702	0.275294118
July	E	2	Dasyhelea	335	0.131372549
July	E	2	Odonata	0	0
July	E	2	Ceratopogonidae	0	0
July	E	2	Diptera	0	0
July	E	2	Coleoptera	14	0.005490196
July	E	2	Orthoptera	0	0
July	E	2	Culicoides	23	0.009019608
July	E	2	Chironomidae	5	0.001960784
July	E	3	Lepidoptera	843	0.330588235
July	E	3	Dasyhelea	0	0
July	E	3	Odonata	0	0
July	E	3	Ceratopogonidae	0	0
July	E	3	Diptera	24	0.009411765
July	E	3	Coleoptera	0	0
July	E	3	Orthoptera	0	0
July	E	3	Culicoides	0	0
July	E	3	Chironomidae	0	0
July	F	1	Lepidoptera	73	0.053129549
July	F	1	Dasyhelea	974	0.708879185
July	F	1	Odonata	0	0
July	F	1	Ceratopogonidae	58	0.042212518
July	F	1	Diptera	0	0
July	F	1	Coleoptera	0	0
July	F	1	Orthoptera	0	0
