Month	Site	Replicate	Taxon	Count	Percent
July	A	1	Insecta	1901	0.068383755
July	A	1	Arthropoda	1341	0.048239145
July	A	1	Clitellata	0	0
July	A	1	Arachnida	26	0.000935285
July	A	1	Hydrozoa	0	0
July	A	1	Bdelloidea	0	0
July	A	1	Gastropoda	0	0
July	A	1	Monogononta	8	0.00028778
July	A	1	Ostracoda	0	0
July	A	2	Insecta	3	0.000107918
July	A	2	Arthropoda	0	0
July	A	2	Clitellata	0	0
July	A	2	Arachnida	14167	0.509622648
July	A	2	Hydrozoa	0	0
July	A	2	Bdelloidea	0	0
July	A	2	Gastropoda	0	0
July	A	2	Monogononta	0	0
July	A	2	Ostracoda	0	0
July	A	3	Insecta	9123	0.328177273
July	A	3	Arthropoda	1161	0.041764092
July	A	3	Clitellata	0	0
July	A	3	Arachnida	0	0
July	A	3	Hydrozoa	51	0.001834598
July	A	3	Bdelloidea	0	0
July	A	3	Gastropoda	9	0.000323753
July	A	3	Monogononta	0	0
July	A	3	Ostracoda	9	0.000323753
July	B	1	Insecta	2378	0.194138297
July	B	1	Arthropoda	1241	0.101314393
July	B	1	Clitellata	731	0.059678341
July	B	1	Arachnida	236	0.019266879
July	B	1	Hydrozoa	143	0.011674422
July	B	1	Bdelloidea	0	0
July	B	1	Gastropoda	11	0.000898032
July	B	1	Monogononta	5	0.000408197
July	B	1	Ostracoda	0	0
July	B	2	Insecta	1766	0.144175035
July	B	2	Arthropoda	646	0.052738999
July	B	2	Clitellata	0	0
July	B	2	Arachnida	57	0.004653441
July	B	2	Hydrozoa	0	0
July	B	2	Bdelloidea	0	0
July	B	2	Gastropoda	12	0.000979672
July	B	2	Monogononta	0	0
July	B	2	Ostracoda	0	0
July	B	3	Insecta	3474	0.283614989
July	B	3	Arthropoda	776	0.06335211
July	B	3	Clitellata	0	0
July	B	3	Arachnida	48	0.003918687
July	B	3	Hydrozoa	718	0.05861703
July	B	3	Bdelloidea	0	0
July	B	3	Gastropoda	7	0.000571475
July	B	3	Monogononta	0	0
July	B	3	Ostracoda	0	0
July	C	1	Insecta	2192	0.142950307
July	C	1	Arthropoda	732	0.047737055
July	C	1	Clitellata	17	0.001108647
July	C	1	Arachnida	67	0.004369375
July	C	1	Hydrozoa	0	0
July	C	1	Bdelloidea	0	0
July	C	1	Gastropoda	29	0.001891222
July	C	1	Monogononta	0	0
July	C	1	Ostracoda	0	0
July	C	2	Insecta	4986	0.325159776
July	C	2	Arthropoda	1898	0.123777227
July	C	2	Clitellata	0	0
July	C	2	Arachnida	34	0.002217295
July	C	2	Hydrozoa	0	0
July	C	2	Bdelloidea	0	0
July	C	2	Gastropoda	21	0.001369506
July	C	2	Monogononta	42	0.002739011
July	C	2	Ostracoda	36	0.002347724
July	C	3	Insecta	3560	0.232163819
July	C	3	Arthropoda	1446	0.094300248
July	C	3	Clitellata	0	0
July	C	3	Arachnida	0	0
July	C	3	Hydrozoa	266	0.017347072
July	C	3	Bdelloidea	0	0
July	C	3	Gastropoda	8	0.000521716
July	C	3	Monogononta	0	0
July	C	3	Ostracoda	0	0
