Month	Site	Replicate	Taxon	Count
July	G	1	Other	1
July	G	1	Other	1
July	B	2	Other	4
July	C	2	Other	1
July	E	1	Other	1
July	C	3	Other	1
July	E	1	Other	2
July	E	1	Other	2
July	F	1	Other	1
July	F	1	Other	1
July	B	3	Other	2
July	C	2	Fly_Larva	1
July	C	2	Fly_Larva	2
July	E	2	Fly_Larva	1
July	A	1	Gilled_Snail	1
July	A	2	Gilled_Snail	1
July	B	1	Gilled_Snail	6
July	B	2	Gilled_Snail	6
July	B	3	Gilled_Snail	6
July	C	1	Gilled_Snail	7
July	C	2	Gilled_Snail	16
July	D	1	Gilled_Snail	1
July	E	1	Gilled_Snail	10
July	E	2	Gilled_Snail	6
July	F	1	Gilled_Snail	13
July	F	2	Gilled_Snail	2
July	G	1	Gilled_Snail	9
July	F	1	Other	1
July	F	2	Other	1
July	C	2	Insect	2
July	C	2	Insect	1
July	G	1	Insect	2
July	C	2	Other	2
July	F	2	Other	1
July	B	1	Other	1
July	A	1	Midge_Larva	1
July	C	2	Midge_Larva	20
July	E	1	Midge_Larva	51
July	F	1	Midge_Larva	3
July	G	1	Other	1
July	B	1	Orb_Snail	7
July	B	3	Orb_Snail	1
July	C	1	Orb_Snail	1
July	D	1	Orb_Snail	2
July	D	2	Orb_Snail	1
July	D	3	Orb_Snail	1
July	E	2	Orb_Snail	1
July	F	1	Orb_Snail	1
July	F	2	Orb_Snail	1
July	G	1	Orb_Snail	3
July	A	1	Ostracod	80
July	A	2	Ostracod	63
July	A	3	Ostracod	50
July	B	1	Ostracod	48
July	B	2	Ostracod	8
July	B	3	Ostracod	13
July	C	1	Ostracod	2
July	C	3	Ostracod	4
July	D	2	Ostracod	4
July	A	1	Pouch_Snail	1
July	A	2	Pouch_Snail	2
July	B	1	Pouch_Snail	17
July	B	2	Pouch_Snail	14
July	C	1	Pouch_Snail	2
July	C	2	Pouch_Snail	1
July	C	3	Pouch_Snail	2
July	D	2	Pouch_Snail	1
July	D	3	Pouch_Snail	1
July	F	1	Pouch_Snail	1
July	G	1	Pouch_Snail	2
July	A	1	Other	5
July	B	1	Other	1
July	G	1	Other	1
July	A	1	Tubifex_Worm	5
July	A	3	Tubifex_Worm	6
July	B	1	Tubifex_Worm	3
July	D	1	Tubifex_Worm	1
July	D	2	Tubifex_Worm	1
July	D	3	Tubifex_Worm	1
July	E	1	Tubifex_Worm	20
July	F	1	Tubifex_Worm	3
July	G	1	Tubifex_Worm	22
July	A	2	Other	1
July	C	2	Other	3
July	E	1	Other	2
July	F	1	Other	8
July	G	1	Other	2
