1A	1B	1C	2A	2B	2C	3A	3B	3C	4A	4B	4C	5A	5B	5C	6A	6B	6C	7A	7B	7C	Family
5763	12777	11711	21609	14490	11800	34208	29861	21692	15851	20612	19116	16426	15478	20610	15052	10726	18024	16552	20383	19554	unknown_unclassified
2291	2993	2526	4540	4999	8334	6467	6592	2621	7789	4647	6495	6359	5550	8241	17685	5042	11761	4656	3995	3894	Insecta_unclassified
3432	1185	845	2200	2515	2681	3344	3186	5580	3580	4755	3778	3079	4269	2982	2273	1965	5349	3618	3990	5178	Arthropoda_unclassified
161	511	346	2816	7161	5348	964	4544	275	344	367	642	4765	2517	1207	583	4573	4622	681	279	516	Lepidoptera_unclassified
14694	1	31	1	0	0	128	13	2	0	0	0	1	0	0	0	5	0	0	0	0	Ceratopogonidae
2	4	0	237	5	1148	8	78	15	8800	71	6	4	274	301	12	8	15	44	18	0	Clitellata_unclassified
10	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	10856	0	0	2	0	Odonata_unclassified
1924	2219	3453	2	20	0	465	30	209	15	108	0	80	173	217	0	0	21	22	52	1	Ceratopogonidae
94	185	165	517	124	194	190	224	670	245	354	239	569	426	675	1065	293	721	612	619	392	Ascomycota_unclassified
27	127	153	176	113	94	54	70	91	291	270	296	536	106	640	224	97	240	813	135	102	Pythiaceae
7	83	0	56	20	145	734	351	1343	374	257	72	18	10	0	0	0	0	0	0	0	Ceratopogonidae
8	31	18	14	10	5	26	19	81	38	28	8	304	757	35	100	45	219	1229	66	70	Diptera_unclassified
34	113	130	220	146	138	134	282	249	94	149	117	50	134	85	107	62	59	120	100	45	Pythiaceae
0	0	0	0	7	201	15	1829	2	0	2	0	0	10	11	0	0	0	5	0	0	Haplotaxida_unclassified
10	73	1071	104	10	175	11	0	91	4	199	14	25	14	51	12	25	41	11	37	31	Ceratopogonidae
4	121	124	95	77	121	79	59	107	92	55	249	45	28	39	109	25	18	76	78	192	Florideophyceae_unclassified
0	5	0	87	6	3	30	12	84	173	81	65	64	130	146	22	18	58	133	215	379	Bdelloidea_unclassified
0	10	2	19	32	9	897	258	20	16	26	2	156	5	31	75	12	31	1	3	11	Coleoptera_unclassified
1	11	15	82	22	14	10	14	64	60	134	19	2	14	61	35	8	7	209	633	30	Leotiomycetes_family_incertae_sedis
8	7	3	3	1	0	0	1	0	99	33	4	0	0	0	20	0	30	93	228	789	Sarcoptiformes_unclassified
0	0	0	0	0	1	3	0	0	14	0	0	7	921	4	1	11	0	0	0	0	Collembola_unclassified
0	0	0	3	2	6	0	0	0	16	150	0	0	0	0	0	199	21	501	28	0	Ceratopogonidae
4	34	70	26	15	52	36	410	13	27	16	31	19	35	46	0	20	7	13	17	12	Ceramiales_unclassified
3	0	0	26	142	0	42	2	0	0	3	43	35	15	53	0	8	0	6	247	63	Chironomidae
7	24	158	4	48	4	5	0	3	70	22	28	48	24	46	31	47	39	57	11	12	Hydrozoa_unclassified
3	5	4	5	4	3	8	7	3	87	191	98	32	37	40	33	2	4	41	7	42	Arachnida_unclassified
3	88	10	12	8	20	12	4	0	36	38	35	38	18	28	5	14	36	99	68	77	Araneae_unclassified
7	44	10	0	7	0	5	12	10	19	29	106	136	45	39	42	3	9	6	42	63	Hominidae
179	88	25	25	57	15	18	12	7	15	10	16	64	15	5	42	18	3	2	2	10	Pythiaceae
0	0	0	0	0	0	534	0	29	0	0	0	0	0	0	0	0	0	0	0	0	Chironomidae
22	34	40	6	13	32	76	23	18	34	4	32	43	15	18	6	8	52	0	0	0	Ploima_unclassified
7	52	24	62	26	37	20	13	17	3	55	9	17	5	18	16	13	19	16	10	23	Oomycota_unclassified
0	3	0	2	3	2	5	19	5	2	0	0	25	237	93	4	5	1	0	21	31	Culicidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	Aeshnidae
0	1	2	1	2	3	0	4	1	0	4	0	1	0	0	8	0	0	226	69	35	Chironomidae
0	0	0	1	0	0	0	0	128	0	0	0	226	0	0	0	0	0	0	0	0	Brachionidae
6	5	26	13	15	5	0	15	2	0	115	5	6	12	2	5	15	9	51	34	11	Nematoda_unclassified
