Month	Point	Rep	Rich_all	Rich_reduced
April	A	A	29.11958529	0.614823694
April	A	B	47.64377076	1.189084583
April	A	C	40.56992359	0.911800523
April	B	A	67.1565315	1.355305255
April	B	B	54.82459116	0.956112529
April	B	C	48.5290198	1.553316748
April	C	A	67.51277974	1.63940975
April	C	B	59.11155297	1.164265377
April	C	C	62.09001926	1.803784021
April	D	A	64.20273614	1.515023881
April	D	B	75.23080266	2.557281965
April	D	C	76.09086426	1.537264036
April	E	A	68.64584615	2.128624131
April	E	B	59.78205488	1.53183236
April	E	C	75.19268754	2.153929477
April	F	A	62.49479872	1.535175471
April	F	B	56.65107023	1.716013418
April	F	C	64.36243185	1.525240823
April	G	A	54.10948609	1.908103404
April	G	B	63.00668392	2.424822602
April	G	C	67.57570917	2.287030044
July	A	A	34.23569411	1.111882779
July	A	B	2.403386138	0.104614741
July	A	C	31.96087031	0.973353584
July	B	A	69.78654141	2.710046212
July	B	B	61.41406987	1.662140087
July	B	C	57.02605758	1.759579408
July	C	A	45.58072637	1.995354449
July	C	B	80.16819761	1.805651715
July	C	C	62.48690996	1.748946122
July	D	A	87.59617841	2.383198438
July	D	B	66.83820677	2.48239246
July	D	C	76.26661826	2.111951556
July	E	A	64.67516534	1.820361553
July	E	B	68.12340513	2.461639787
July	E	C	63.18679191	2.07896083
July	F	A	57.437571	2.18423918
July	F	B	68.10560234	1.865173967
July	F	C	55.8157393	1.513201509
July	G	A	48.67379886	1.933404907
July	G	B	56.16672552	2.78564779
July	G	C	38.76171869	1.817685061
October	A	A	33.65966008	0.962451654
October	A	B	48.12844974	2.116170719
October	A	C	41.89553506	1.739971224
October	B	A	42.20936309	1.259296796
October	B	B	63.88417972	2.378464336
October	B	C	69.71083331	1.702637184
October	C	A	57.32616414	2.143971361
October	C	B	39.36356722	1.528769802
October	C	C	61.67810808	2.27385603
October	D	A	53.08996915	1.522155735
October	D	B	67.87317652	3.108789392
October	D	C	58.59655992	2.860308382
October	E	A	55.17125767	1.976349342
October	E	B	61.58399901	1.624610536
October	E	C	61.86726123	2.177384976
October	F	A	54.44875228	2.024681928
October	F	B	60.14165816	1.88351123
October	F	C	69.28109166	1.824730376
October	G	A	50.87131611	1.88685943
October	G	B	49.42289999	2.563557919
October	G	C	51.55237835	1.516688972
