Amphipod	Beetle	Collembola	Crane_fly_larva	Gilled_Snail	Horsefly_larva	Insect_pupa	Limpet	Midge_Larva	Orb_Snail	Ostracod	Pouch_Snail	Tick	Tubifex_worm	Unknown_Fly_Larva	unknown_insect	unknown_worm	Water_Mite
0	0	0	0	2	0	0	0	0	1	17	0	0	0	0	1	0	0
0	0	0	0	23	0	0	0	0	2	7	1	0	0	0	0	1	0
0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	7	0	0	0	18	0	0	0	0	0	1	0	2	1
0	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	4	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	8	1	0	5	0	0	0	0
0	0	0	0	6	0	0	1	0	7	48	17	0	3	0	0	0	0
0	1	0	0	16	1	2	0	2	0	0	1	0	0	4	0	0	3
0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0
0	1	4	0	1	0	0	0	51	0	0	0	0	2	0	0	0	2
0	0	1	1	13	1	0	0	3	1	0	1	0	3	0	0	8	0
1	0	0	0	9	0	0	0	0	3	0	2	1	22	0	0	2	1
0	0	0	0	3	2	0	0	0	0	0	0	0	3	0	0	0	0
0	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0
0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0
0	0	0	0	6	0	0	0	0	0	0	1	0	3	0	0	1	0
0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	1	0
