Month	Site	Richness
April	A	3.671541261
April	A	4.718733586
April	B	4.716421508
April	B	3.708793324
April	C	3.68534202
April	C	6.676484547
April	D	3.582967609
April	D	5.705985896
April	E	6.740269698
April	E	2.696586924
April	F	5.711460992
April	G	5.63932624
April	G	1.378665065
July	A	5.779376051
July	A	3.762170487
July	A	1.751574502
July	B	6.773696295
July	B	3.711460992
July	B	3.676484547
July	C	3.597570396
July	C	7.743050829
July	C	2.486101658
July	D	2.27865248
July	D	3.486101658
July	D	2.089760773
July	E	5.776652943
July	E	2.519101653
July	F	8.711460992
July	F	3.378665065
July	G	9.73574263
October	A	3.582967609
October	A	0.565705518
October	B	2.681071011
October	B	2.714000332
October	C	3.519101653
October	C	1.486101658
October	D	4.610128755
October	D	1.597570396
October	E	2.519101653
October	E	0.544880387
October	F	2.597570396
October	F	4.378665065
October	G	2.582967609
October	G	3.544880387
