Month	Site	Replicate	Taxon	Count
October	G	1	Other	5
October	G	2	Other	1
October	D	2	Fly_Larva	2
October	F	2	Fly_Larva	1
October	G	2	Fly_Larva	2
October	A	1	Gilled_Snail	3
October	A	2	Gilled_Snail	10
October	B	1	Gilled_Snail	2
October	B	3	Gilled_Snail	24
October	C	1	Gilled_Snail	4
October	C	2	Gilled_Snail	6
October	D	1	Gilled_Snail	6
October	D	2	Gilled_Snail	10
October	E	1	Gilled_Snail	4
October	E	2	Gilled_Snail	9
October	F	1	Gilled_Snail	1
October	F	2	Gilled_Snail	1
October	G	1	Gilled_Snail	5
October	G	2	Gilled_Snail	4
October	A	1	Other	2
October	F	2	Other	1
October	C	1	Insect	1
October	G	1	Insect	1
October	A	2	Orb_Snail	3
October	B	1	Orb_Snail	20
October	B	3	Orb_Snail	2
October	C	2	Orb_Snail	1
October	F	1	Orb_Snail	1
October	G	2	Orb_Snail	2
October	F	2	Ostracod	1
October	D	1	Pouch_Snail	1
October	F	2	Pouch_Snail	1
October	B	3	Other	7
October	C	1	Other	1
October	C	1	Other	1
October	D	1	Other	2
October	B	1	Other	1
October	A	1	Tubifex_Worm	3
October	C	1	Tubifex_Worm	1
October	D	1	Tubifex_Worm	3
October	E	1	Tubifex_Worm	3
October	F	1	Tubifex_Worm	10
October	D	1	Other	1
October	E	1	Other	1
October	A	1	Midge_Larva	0
