"A1A" "A1B" "A1C" "A2A" "A2B" "A2C" "A3A" "A3B" "A3C" "A4A" "A4B" "A4C" "A5A" "A5B" "A5C" "A6A" "A6B" "A6C" "A7A" "A7B" "A7C" "J1A" "J1B" "J1C" "J2A" "J2B" "J2C" "J3A" "J3B" "J3C" "J4A" "J4B" "J4C" "J5A" "J5B" "J5C" "J6A" "J6B" "J6C" "J7A" "J7B" "J7C" "O1A" "O1B" "O1C" "O2A" "O2B" "O2C" "O3A" "O3B" "O3C" "O4A" "O4B" "O4C" "O5A" "O5B" "O5C" "O6A" "O6B" "O6C" "O7A" "O7B" "O7C"
"Arachnida" 0 54 0 32 16 10 4 0 3 46 77 30 51 191 56 66 33 18 130 232 228 26 14167 0 236 57 48 67 34 0 319 145 79 513 162 257 101 153 198 45 381 126 0 15 24 59 113 80 208 6 1 353 172 123 113 70 79 90 125 49 225 207 160
"Arthropoda_unclassified" 104 379 182 1227 1356 1935 1887 1690 3726 2664 3883 2209 1510 3150 2367 1020 989 4081 2057 2857 3304 1341 0 1161 1241 646 776 732 1898 1446 930 651 995 813 903 1286 1026 1555 1030 857 1389 474 562 1076 1463 708 789 1422 1981 2949 991 1224 1359 946 1629 1200 1812 1501 775 1840 1327 1729 2873
"Bdelloidea" 0 0 0 57 0 0 3 0 60 114 17 12 11 76 91 0 0 42 14 110 268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 14 0 0 0 0 0 0 0 0 0 0 44 29 34 0 0 12 0 0 0 424 140 26
"Clitellata" 0 0 0 121 5 1559 16 1664 0 10138 34 0 0 208 261 10 4 4 29 16 0 0 0 0 731 0 0 17 0 0 369 482 12 524 193 1173 1487 1999 0 0 37 25 0 0 0 0 0 0 369 508 24 554 5229 333 30 90 20 64 49 0 32 13 0
"Cnidaria_unclassified" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 28 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Collembola" 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 7 0 0 0 35 26 0 0 0 0 26 89 25 21 0 0 35 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 146 58
"Gastropoda" 0 0 0 42 0 1 10 2 4 0 0 0 0 0 4 0 2 45 22 0 25 0 0 9 11 12 7 29 21 8 19 22 21 0 1 2 0 3 13 0 1 0 0 43 106 0 14 40 400 0 29 0 15 0 4 0 0 24 17 0 35 20 0
"Hydrozoa" 3 0 200 0 57 11 0 53 0 129 33 24 21 0 25 11 12 0 54 5 0 0 0 51 143 0 718 0 0 266 188 0 0 0 415 524 317 5 45 34 146 297 0 0 0 0 73 0 196 2 0 0 14 24 14 0 8 77 0 6 0 41 81
"Insecta" 3278 4058 6050 5466 10814 12081 7491 9274 3224 6740 3937 6721 10228 5672 7965 16409 18995 14454 5065 2448 2454 1901 3 9123 2378 1766 3474 2192 4986 3560 2499 1842 2025 1790 3351 2416 3017 1579 1494 1296 1807 1194 845 3683 3665 2043 5809 5144 3871 14769 3185 2943 4383 1637 3414 8864 7802 2675 7270 4413 2773 1300 2080
"Malacostraca" 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mollusca_unclassified" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0
"Monogononta" 18 0 31 0 0 8 0 0 87 116 0 0 179 18 10 0 0 0 0 0 0 8 0 0 5 0 0 0 42 0 88 13 0 150 18 10 0 0 0 0 0 14 11 9 8 0 0 14 34 0 7 0 0 0 9 5 15 0 1 120 0 15 0
"Nematoda_unclassified" 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 15 0 0 0 0 0 0 0 0 0 22 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 5 0 0 0 0 0 0
"Ostracoda" 0 0 0 58 0 22 0 0 0 0 0 23 37 0 0 0 29 23 30 0 0 0 0 9 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 23 118 280 0 33 0 0 14 18 0 0 0 228 0 0 0 59 0 0 0 0
"Secernentea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trematoda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
