Month	Site	Replicate	Richness_morpho	Richness_molecular	Rarefied_mol	Rarefied_morpho	Salinity
April	A	2	3.671541261	47.64377076	424.78476	1.554135	3.597
April	A	3	4.718733586	40.56992359	365.07915	1.830099	3.597
April	B	2	4.716421508	54.82459116	469.65657	1.831217	1.3533
April	B	3	3.708793324	48.5290198	408.74988	1.625362	1.3533
April	C	1	3.68534202	67.51277974	586.76299	1.87253	1.553
April	C	3	6.676484547	62.09001926	549.94174	2.423377	1.553
April	D	2	3.582967609	75.23080266	666.28415	2.339394	1.8123
April	D	3	5.705985896	76.09086426	664.97157	2.002709	1.8123
April	E	1	6.740269698	68.64584615	592.75709	2.333025	1.6187
April	E	3	2.696586924	75.19268754	677.63903	2.047521	1.6187
April	F	3	5.711460992	64.36243185	540.43365	2.197379	1.8283
April	G	1	5.63932624	54.10948609	492.71146	2.635714	1.8283
April	G	2	1.378665065	63.00668392	581.65201	1.9	1.065
July	A	1	5.779376051	34.23569411	304.5628	1.40328	1.065
July	A	2	3.762170487	2.403386138	22.34863	1.177664	1.166
July	A	3	1.751574502	31.96087031	280.90744	1.292208	1.166
July	B	1	6.773696295	69.78654141	574.71355	2.047562	1.166
July	B	2	3.711460992	61.41406987	534.64595	2.242742	0.643
July	B	3	3.676484547	57.02605758	493.06722	1.977922	0.643
July	C	1	3.597570396	45.58072637	404.82233	2.113636	0.643
July	C	2	7.743050829	80.16819761	682.77314	2.276107	0.3894
July	C	3	2.486101658	62.48690996	543.67282	2.114286	0.3894
July	D	1	2.27865248	87.59617841	740.7478	2.5	0.3894
July	D	2	3.486101658	66.83820677	580.50968	2.257143	0.266
July	D	3	2.089760773	76.26661826	653.01023	3	0.266
July	E	1	5.776652943	64.67516534	554.76166	2.012421	0.266
July	E	2	2.519101653	68.12340513	583.97225	1.75	0.2725
July	F	1	8.711460992	57.437571	503.17463	2.391935	0.2725
July	F	2	3.378665065	68.10560234	570.52666	2.7	0.1717
July	G	1	9.73574263	48.67379886	442.55053	2.256947	0.1717
October	A	1	3.582967609	33.65966008	294.35716	2.472727	0.0684
October	A	2	0.565705518	48.12844974	422.09004	1	0.281
October	B	1	2.681071011	42.20936309	365.56831	1.378882	0.281
October	B	3	2.714000332	69.71083331	603.92142	1.684201	0.151
October	C	1	3.519101653	57.32616414	491.6107	2.321429	0.151
October	C	2	1.486101658	39.36356722	321.46256	1.428571	0.092
October	D	1	4.610128755	53.08996915	462.50982	2.342657	0.092
October	D	2	1.597570396	67.87317652	578.26457	1.454545	0.065
October	E	1	2.519101653	55.17125767	483.21935	2.125	0.065
October	E	2	0.544880387	61.58399901	513.28936	1	0.066
October	F	1	2.597570396	54.44875228	467.91785	1.5	0.066
October	F	2	4.378665065	60.14165816	510.27611	3	0.045
October	G	1	2.582967609	50.87131611	466.79313	2.030303	0.045
October	G	2	3.544880387	49.42289999	435.68822	2.380952	0.025
