Month	Point	Rep	Rich_all	Rich_reduced	Salinity	Point_num
April	A	A	29.11958529	0.614823694	3.597	1
April	A	B	47.64377076	1.189084583	3.597	1
April	A	C	40.56992359	0.911800523	3.597	1
April	B	A	67.1565315	1.355305255	1.3533	2
April	B	B	54.82459116	0.956112529	1.3533	2
April	B	C	48.5290198	1.553316748	1.3533	2
April	C	A	67.51277974	1.63940975	1.553	3
April	C	B	59.11155297	1.164265377	1.553	3
April	C	C	62.09001926	1.803784021	1.553	3
April	D	A	64.20273614	1.515023881	1.8123	4
April	D	B	75.23080266	2.557281965	1.8123	4
April	D	C	76.09086426	1.537264036	1.8123	4
April	E	A	68.64584615	2.128624131	1.6187	5
April	E	B	59.78205488	1.53183236	1.6187	5
April	E	C	75.19268754	2.153929477	1.6187	5
April	F	A	62.49479872	1.535175471	1.8283	6
April	F	B	56.65107023	1.716013418	1.8283	6
April	F	C	64.36243185	1.525240823	1.8283	6
April	G	A	54.10948609	1.908103404	1.065	7
April	G	B	63.00668392	2.424822602	1.065	7
April	G	C	67.57570917	2.287030044	1.065	7
July	A	A	34.23569411	1.111882779	1.166	1
July	A	B	2.403386138	0.104614741	1.166	1
July	A	C	31.96087031	0.973353584	1.166	1
July	B	A	69.78654141	2.710046212	0.643	2
July	B	B	61.41406987	1.662140087	0.643	2
July	B	C	57.02605758	1.759579408	0.643	2
July	C	A	45.58072637	1.995354449	0.3894	3
July	C	B	80.16819761	1.805651715	0.3894	3
July	C	C	62.48690996	1.748946122	0.3894	3
July	D	A	87.59617841	2.383198438	0.266	4
July	D	B	66.83820677	2.48239246	0.266	4
July	D	C	76.26661826	2.111951556	0.266	4
July	E	A	64.67516534	1.820361553	0.2725	5
July	E	B	68.12340513	2.461639787	0.2725	5
July	E	C	63.18679191	2.07896083	0.2725	5
July	F	A	57.437571	2.18423918	0.1717	6
July	F	B	68.10560234	1.865173967	0.1717	6
July	F	C	55.8157393	1.513201509	0.1717	6
July	G	A	48.67379886	1.933404907	0.0684	7
July	G	B	56.16672552	2.78564779	0.0684	7
July	G	C	38.76171869	1.817685061	0.0684	7
October	A	A	33.65966008	0.962451654	0.281	1
October	A	B	48.12844974	2.116170719	0.281	1
October	A	C	41.89553506	1.739971224	0.281	1
October	B	A	42.20936309	1.259296796	0.151	2
October	B	B	63.88417972	2.378464336	0.151	2
October	B	C	69.71083331	1.702637184	0.151	2
October	C	A	57.32616414	2.143971361	0.092	3
October	C	B	39.36356722	1.528769802	0.092	3
October	C	C	61.67810808	2.27385603	0.092	3
October	D	A	53.08996915	1.522155735	0.065	4
October	D	B	67.87317652	3.108789392	0.065	4
October	D	C	58.59655992	2.860308382	0.065	4
October	E	A	55.17125767	1.976349342	0.066	5
October	E	B	61.58399901	1.624610536	0.066	5
October	E	C	61.86726123	2.177384976	0.066	5
October	F	A	54.44875228	2.024681928	0.045	6
October	F	B	60.14165816	1.88351123	0.045	6
October	F	C	69.28109166	1.824730376	0.045	6
October	G	A	50.87131611	1.88685943	0.025	7
October	G	B	49.42289999	2.563557919	0.025	7
October	G	C	51.55237835	1.516688972	0.025	7
